0 	 1000 
1 	 955 
2 	 913 
3 	 861 
4 	 816 
5 	 788 
6 	 751 
7 	 717 
8 	 687 
9 	 650 
10 	 609 
11 	 578 
12 	 546 
13 	 517 
14 	 494 
15 	 470 
16 	 438 
17 	 424 
18 	 401 
19 	 378 
20 	 355 
21 	 333 
22 	 315 
23 	 304 
24 	 289 
25 	 270 
26 	 259 
27 	 249 
28 	 234 
29 	 225 
30 	 219 
31 	 212 
32 	 206 
33 	 202 
34 	 188 
35 	 176 
36 	 170 
37 	 161 
38 	 156 
39 	 149 
40 	 135 
41 	 129 
42 	 125 
43 	 118 
44 	 116 
45 	 110 
46 	 106 
47 	 97 
48 	 92 
49 	 88 
50 	 85 
51 	 81 
52 	 79 
53 	 79 
54 	 78 
55 	 73 
56 	 67 
57 	 64 
58 	 62 
59 	 59 
60 	 55 
61 	 52 
62 	 50 
63 	 49 
64 	 45 
65 	 43 
66 	 40 
67 	 37 
68 	 36 
69 	 33 
70 	 31 
71 	 29 
72 	 26 
73 	 24 
74 	 23 
75 	 22 
76 	 22 
77 	 22 
78 	 20 
79 	 17 
80 	 16 
81 	 14 
82 	 13 
83 	 11 
84 	 11 
85 	 10 
86 	 9 
87 	 9 
88 	 9 
89 	 8 
90 	 8 
91 	 8 
92 	 7 
93 	 6 
94 	 6 
95 	 6 
96 	 6 
97 	 6 
98 	 4 
99 	 4 
100 	 4 
101 	 3 
102 	 2 
103 	 2 
104 	 2 
105 	 2 
106 	 2 
107 	 1 
108 	 1 
109 	 1 
110 	 1 
111 	 1 
112 	 1 
113 	 1 
114 	 1 
115 	 1 
116 	 1 
117 	 1 
118 	 1 
119 	 1 
120 	 1 
121 	 1 
122 	 1 
123 	 1 
124 	 1 
125 	 1 
126 	 1 
127 	 1 
128 	 1 
129 	 1 
130 	 1 
131 	 1 
132 	 1 
133 	 1 
134 	 1 
135 	 1 
136 	 1 
137 	 1 
138 	 1 
139 	 1 
140 	 1 
141 	 1 
142 	 1 
143 	 1 
144 	 1 
145 	 1 
146 	 1 
147 	 1 
148 	 1 
149 	 1 
150 	 1 
151 	 1 
152 	 1 
153 	 1 
154 	 1 
155 	 0 
